year,month_1,month_2,month_3,month_4,month_5,month_6,month_7,month_8,month_9,month_10,month_11,month_12,day_sin,day_cos,hour_sin,hour_cos,is_mond,is_tues,is_wed,is_thurs,is_fri,is_sat,is_sun,type_day_workday,type_day_sat,type_day_sun,type_day_holiday,holiday_coef,demand,solar,solar_share_demand,wind,wind_share_demand,gas_generation,gas_price,residual_demand,interchange_balance,temp_dev,price_es_24h,target_price
2023,1,0,0,0,0,0,0,0,0,0,0,0,0.394356,0.918958,-0.707107,0.707107,1,0,0,0,0,0,0,1,0,0,0,0.0,26928.66666666667,0.0,0.0,3058.3333,0.1136,6653.91666666667,70.45,23870.3334,-562.58333333333,10.58,40.07,141.67
2023,1,0,0,0,0,0,0,0,0,0,0,0,0.394356,0.918958,-0.5,0.866025,1,0,0,0,0,0,0,1,0,0,0,0.0,24488.33333333333,0.0833,0.0,2984.3333,0.1219,5868.5,70.45,21503.9167,-922.66666666667,10.61,40.07,134.91
2023,1,0,0,0,0,0,0,0,0,0,0,0,0.394356,0.918958,-0.258819,0.965926,1,0,0,0,0,0,0,1,0,0,0,0.0,22811.41666666667,0.0,0.0,3232.3333,0.1417,4874.66666666667,70.45,19579.0834,559.91666666667,10.64,16.0,124.22
2023,1,0,0,0,0,0,0,0,0,0,0,0,0.571268,0.820763,0.0,1.0,0,1,0,0,0,0,0,1,0,0,0,0.0,21274.08333333333,0.0,0.0,3488.5833,0.164,4286.33333333333,71.49,17785.5,1063.58333333333,10.67,61.38,130.01
2023,1,0,0,0,0,0,0,0,0,0,0,0,0.571268,0.820763,0.258819,0.965926,0,1,0,0,0,0,0,1,0,0,0,0.0,20189.08333333333,0.0,0.0,3487.0,0.1727,4294.16666666667,71.49,16702.0833,-215.5,10.66,42.17,120.0
2023,1,0,0,0,0,0,0,0,0,0,0,0,0.571268,0.820763,0.5,0.866025,0,1,0,0,0,0,0,1,0,0,0,0.0,19666.75,0.0,0.0,3344.3333,0.1701,4406.66666666667,71.49,16322.4167,-716.58333333333,10.65,42.0,118.76
2023,1,0,0,0,0,0,0,0,0,0,0,0,0.571268,0.820763,0.707107,0.707107,0,1,0,0,0,0,0,1,0,0,0,0.0,19584.83333333333,0.0,0.0,3524.5833,0.18,4312.91666666667,71.49,16060.25,-503.33333333333,10.64,42.07,115.0
2023,1,0,0,0,0,0,0,0,0,0,0,0,0.571268,0.820763,0.866025,0.5,0,1,0,0,0,0,0,1,0,0,0,0.0,20162.66666666667,0.0,0.0,3590.1667,0.1781,4807.0,71.49,16572.5,-948.16666666667,10.62,42.17,113.63
2023,1,0,0,0,0,0,0,0,0,0,0,0,0.571268,0.820763,0.965926,0.258819,0,1,0,0,0,0,0,1,0,0,0,0.0,22591.41666666667,0.0833,0.0,3602.75,0.1595,4940.33333333333,71.49,18988.5834,-1148.5,10.61,63.22,116.27
2023,1,0,0,0,0,0,0,0,0,0,0,0,0.571268,0.820763,1.0,0.0,0,1,0,0,0,0,0,1,0,0,0,0.0,25762.41666666667,0.0,0.0,3817.9167,0.1482,6243.0,71.49,21944.5,-756.66666666667,10.6,85.0,138.92
2023,1,0,0,0,0,0,0,0,0,0,0,0,0.571268,0.820763,0.965926,-0.258819,0,1,0,0,0,0,0,1,0,0,0,0.0,27816.75,40.5833,0.0015,3785.5833,0.1361,7039.66666666667,71.49,23990.5834,-799.75,10.59,105.36,142.11
2023,1,0,0,0,0,0,0,0,0,0,0,0,0.571268,0.820763,0.866025,-0.5,0,1,0,0,0,0,0,1,0,0,0,0.0,29498.0,1423.75,0.0483,3311.75,0.1123,7611.41666666667,71.49,24762.5,-1000.08333333333,10.58,119.46,148.56
2023,1,0,0,0,0,0,0,0,0,0,0,0,0.571268,0.820763,0.707107,-0.707107,0,1,0,0,0,0,0,1,0,0,0,0.0,29653.83333333333,4548.5833,0.1534,2849.25,0.0961,7347.25,71.49,22256.0,-1869.66666666667,10.57,120.14,158.89
2023,1,0,0,0,0,0,0,0,0,0,0,0,0.571268,0.820763,0.5,-0.866025,0,1,0,0,0,0,0,1,0,0,0,0.0,29268.33333333333,6546.9167,0.2237,2477.9167,0.0847,6495.08333333333,71.49,20243.4999,-2173.08333333333,10.56,121.21,154.9
2023,1,0,0,0,0,0,0,0,0,0,0,0,0.571268,0.820763,0.258819,-0.965926,0,1,0,0,0,0,0,1,0,0,0,0.0,28882.0,7312.1667,0.2532,2431.5833,0.0842,6102.41666666667,71.49,19138.25,-3006.41666666667,10.55,125.0,146.71
2023,1,0,0,0,0,0,0,0,0,0,0,0,0.571268,0.820763,0.0,-1.0,0,1,0,0,0,0,0,1,0,0,0,0.0,28843.75,7657.9167,0.2655,2437.75,0.0845,5601.75,71.49,18748.0833,-2625.41666666667,10.54,126.75,133.33
2023,1,0,0,0,0,0,0,0,0,0,0,0,0.571268,0.820763,-0.258819,-0.965926,0,1,0,0,0,0,0,1,0,0,0,0.0,28362.0,7917.0833,0.2791,2425.3333,0.0855,5500.08333333333,71.49,18019.5834,-2643.08333333333,10.52,126.75,130.0
2023,1,0,0,0,0,0,0,0,0,0,0,0,0.571268,0.820763,-0.5,-0.866025,0,1,0,0,0,0,0,1,0,0,0,0.0,27692.0,8222.0833,0.2969,2400.75,0.0867,5200.16666666667,71.49,17069.1667,-2346.66666666667,10.51,128.0,126.0
2023,1,0,0,0,0,0,0,0,0,0,0,0,0.571268,0.820763,-0.707107,-0.707107,0,1,0,0,0,0,0,1,0,0,0,0.0,27694.41666666667,6304.5833,0.2276,2230.4167,0.0805,6497.75,71.49,19159.4167,-2320.33333333333,10.5,128.0,120.0
2023,1,0,0,0,0,0,0,0,0,0,0,0,0.571268,0.820763,-0.866025,-0.5,0,1,0,0,0,0,0,1,0,0,0,0.0,28501.75,2092.8333,0.0734,2237.75,0.0785,7846.33333333333,71.49,24171.1667,-1051.33333333333,10.49,129.0,135.56
2023,1,0,0,0,0,0,0,0,0,0,0,0,0.571268,0.820763,-0.965926,-0.258819,0,1,0,0,0,0,0,1,0,0,0,0.0,30168.83333333333,200.25,0.0066,2610.0833,0.0865,8577.75,71.49,27358.5,-44.58333333333,10.48,140.0,156.3
2023,1,0,0,0,0,0,0,0,0,0,0,0,0.571268,0.820763,-1.0,-0.0,0,1,0,0,0,0,0,1,0,0,0,0.0,31059.83333333333,52.0833,0.0017,2773.0,0.0893,9212.08333333333,71.49,28234.75,-559.66666666667,10.47,174.74,169.01
2023,1,0,0,0,0,0,0,0,0,0,0,0,0.571268,0.820763,-0.965926,0.258819,0,1,0,0,0,0,0,1,0,0,0,0.0,31521.0,50.8333,0.0016,2834.9167,0.0899,8943.41666666667,71.49,28635.25,654.33333333333,10.46,165.76,160.99
2023,1,0,0,0,0,0,0,0,0,0,0,0,0.571268,0.820763,-0.866025,0.5,0,1,0,0,0,0,0,1,0,0,0,0.0,31141.08333333333,50.9167,0.0016,2846.25,0.0914,9202.25,71.49,28243.9166,179.75,10.44,153.0,152.1
2023,1,0,0,0,0,0,0,0,0,0,0,0,0.571268,0.820763,-0.707107,0.707107,0,1,0,0,0,0,0,1,0,0,0,0.0,28618.91666666667,50.75,0.0018,2835.1667,0.0991,7103.66666666667,71.49,25733.0,1463.75,10.43,141.67,149.92
2023,1,0,0,0,0,0,0,0,0,0,0,0,0.571268,0.820763,-0.5,0.866025,0,1,0,0,0,0,0,1,0,0,0,0.0,25962.25,45.25,0.0017,3003.1667,0.1157,5400.5,71.49,22913.8333,1977.83333333333,10.42,134.91,132.53
2023,1,0,0,0,0,0,0,0,0,0,0,0,0.571268,0.820763,-0.258819,0.965926,0,1,0,0,0,0,0,1,0,0,0,0.0,23942.41666666667,43.8333,0.0018,3277.8333,0.1369,3892.5,71.49,20620.7501,3057.0,10.41,124.22,115.0
2023,1,0,0,0,0,0,0,0,0,0,0,0,0.724793,0.688967,0.0,1.0,0,0,1,0,0,0,0,1,0,0,0,0.0,22247.91666666667,43.6667,0.002,3486.25,0.1567,2985.83333333333,63.0,18718.0,2840.16666666667,10.4,130.01,119.99
2023,1,0,0,0,0,0,0,0,0,0,0,0,0.724793,0.688967,0.258819,0.965926,0,0,1,0,0,0,0,1,0,0,0,0.0,21172.08333333333,37.3333,0.0018,3604.6667,0.1703,2860.41666666667,63.0,17530.0833,2644.5,10.42,120.0,100.0
2023,1,0,0,0,0,0,0,0,0,0,0,0,0.724793,0.688967,0.5,0.866025,0,0,1,0,0,0,0,1,0,0,0,0.0,20590.16666666667,36.0,0.0017,3708.8333,0.1801,2699.75,63.0,16845.3334,2511.83333333333,10.43,118.76,90.23
2023,1,0,0,0,0,0,0,0,0,0,0,0,0.724793,0.688967,0.707107,0.707107,0,0,1,0,0,0,0,1,0,0,0,0.0,20545.33333333333,36.0,0.0018,3862.6667,0.188,2639.0,63.0,16646.6666,2692.83333333333,10.45,115.0,84.2
2023,1,0,0,0,0,0,0,0,0,0,0,0,0.724793,0.688967,0.866025,0.5,0,0,1,0,0,0,0,1,0,0,0,0.0,21074.41666666667,36.0,0.0017,4035.8333,0.1915,2664.0,63.0,17002.5834,2749.16666666667,10.46,113.63,80.23
2023,1,0,0,0,0,0,0,0,0,0,0,0,0.724793,0.688967,0.965926,0.258819,0,0,1,0,0,0,0,1,0,0,0,0.0,23342.75,36.0,0.0015,3916.4167,0.1678,3184.25,63.0,19390.3333,2639.58333333333,10.48,116.27,87.31
2023,1,0,0,0,0,0,0,0,0,0,0,0,0.724793,0.688967,1.0,0.0,0,0,1,0,0,0,0,1,0,0,0,0.0,26433.75,32.8333,0.0012,3748.1667,0.1418,4701.58333333333,63.0,22652.75,1681.0,10.49,138.92,109.0
2023,1,0,0,0,0,0,0,0,0,0,0,0,0.724793,0.688967,0.965926,-0.258819,0,0,1,0,0,0,0,1,0,0,0,0.0,28708.25,70.5833,0.0025,3497.6667,0.1218,5515.58333333333,63.0,25140.0,2184.08333333333,10.51,142.11,105.1
2023,1,0,0,0,0,0,0,0,0,0,0,0,0.724793,0.688967,0.866025,-0.5,0,0,1,0,0,0,0,1,0,0,0,0.0,30081.25,1798.25,0.0598,3240.1667,0.1077,5840.5,63.0,25042.8333,1338.83333333333,10.52,148.56,134.16
2023,1,0,0,0,0,0,0,0,0,0,0,0,0.724793,0.688967,0.707107,-0.707107,0,0,1,0,0,0,0,1,0,0,0,0.0,30228.33333333333,5236.75,0.1732,2938.25,0.0972,5694.66666666667,63.0,22053.3333,-728.16666666667,10.54,158.89,129.3
2023,1,0,0,0,0,0,0,0,0,0,0,0,0.724793,0.688967,0.5,-0.866025,0,0,1,0,0,0,0,1,0,0,0,0.0,29590.75,7081.6667,0.2393,2544.5,0.086,4948.75,63.0,19964.5833,-1845.5,10.55,154.9,120.7
2023,1,0,0,0,0,0,0,0,0,0,0,0,0.724793,0.688967,0.258819,-0.965926,0,0,1,0,0,0,0,1,0,0,0,0.0,29222.25,7885.25,0.2698,2338.0833,0.08,5116.41666666667,63.0,18998.9167,-1325.91666666667,10.57,146.71,96.77
2023,1,0,0,0,0,0,0,0,0,0,0,0,0.724793,0.688967,0.0,-1.0,0,0,1,0,0,0,0,1,0,0,0,0.0,29222.58333333333,8375.0833,0.2866,2221.3333,0.076,4897.16666666667,63.0,18626.1667,-844.33333333333,10.58,133.33,105.03
2023,1,0,0,0,0,0,0,0,0,0,0,0,0.724793,0.688967,-0.258819,-0.965926,0,0,1,0,0,0,0,1,0,0,0,0.0,28834.16666666667,8817.4167,0.3058,2203.5,0.0764,4708.41666666667,63.0,17813.25,-1395.83333333333,10.6,130.0,106.0
2023,1,0,0,0,0,0,0,0,0,0,0,0,0.724793,0.688967,-0.5,-0.866025,0,0,1,0,0,0,0,1,0,0,0,0.0,27965.25,8938.5,0.3196,2224.4167,0.0795,4518.41666666667,63.0,16802.3333,-1597.08333333333,10.62,126.0,105.07
2023,1,0,0,0,0,0,0,0,0,0,0,0,0.724793,0.688967,-0.707107,-0.707107,0,0,1,0,0,0,0,1,0,0,0,0.0,27982.33333333333,6908.4167,0.2469,2198.6667,0.0786,5241.83333333333,63.0,18875.2499,438.91666666667,10.63,120.0,103.9
2023,1,0,0,0,0,0,0,0,0,0,0,0,0.724793,0.688967,-0.866025,-0.5,0,0,1,0,0,0,0,1,0,0,0,0.0,28657.58333333333,2336.0833,0.0815,1996.5833,0.0697,6503.41666666667,63.0,24324.9167,980.75,10.65,135.56,107.98
2023,1,0,0,0,0,0,0,0,0,0,0,0,0.724793,0.688967,-0.965926,-0.258819,0,0,1,0,0,0,0,1,0,0,0,0.0,30357.16666666667,244.75,0.0081,1921.25,0.0633,7477.25,63.0,28191.1667,1784.33333333333,10.66,156.3,129.82
2023,1,0,0,0,0,0,0,0,0,0,0,0,0.724793,0.688967,-1.0,-0.0,0,0,1,0,0,0,0,1,0,0,0,0.0,30996.91666666667,78.3333,0.0025,1872.6667,0.0604,7905.83333333333,63.0,29045.9167,1872.58333333333,10.68,169.01,167.29
2023,1,0,0,0,0,0,0,0,0,0,0,0,0.724793,0.688967,-0.965926,0.258819,0,0,1,0,0,0,0,1,0,0,0,0.0,31590.16666666667,64.5833,0.002,2019.5833,0.0639,7733.91666666667,63.0,29506.0001,2586.16666666667,10.69,160.99,160.6
2023,1,0,0,0,0,0,0,0,0,0,0,0,0.724793,0.688967,-0.866025,0.5,0,0,1,0,0,0,0,1,0,0,0,0.0,31267.83333333333,42.6667,0.0014,2161.0833,0.0691,7190.5,63.0,29064.0833,3086.83333333333,10.71,152.1,151.55
2023,1,0,0,0,0,0,0,0,0,0,0,0,0.724793,0.688967,-0.707107,0.707107,0,0,1,0,0,0,0,1,0,0,0,0.0,28778.0,32.9167,0.0011,2456.9167,0.0854,6377.41666666667,63.0,26288.1666,2216.5,10.72,149.92,140.61
2023,1,0,0,0,0,0,0,0,0,0,0,0,0.724793,0.688967,-0.5,0.866025,0,0,1,0,0,0,0,1,0,0,0,0.0,26235.0,33.0,0.0013,2712.0833,0.1034,5356.41666666667,63.0,23489.9167,1134.25,10.74,132.53,126.58
2023,1,0,0,0,0,0,0,0,0,0,0,0,0.724793,0.688967,-0.258819,0.965926,0,0,1,0,0,0,0,1,0,0,0,0.0,24421.5,32.8333,0.0013,2823.25,0.1156,3835.83333333333,63.0,21565.4167,3646.75,10.75,115.0,104.75
2023,1,0,0,0,0,0,0,0,0,0,0,0,0.848644,0.528964,0.0,1.0,0,0,0,1,0,0,0,1,0,0,0,0.0,22710.66666666667,32.8333,0.0014,2785.5833,0.1227,3722.66666666667,58.0,19892.2501,3132.91666666667,10.77,119.99,95.05
